         13060031 function calls (13036035 primitive calls) in 22.732 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2324    0.005    0.000    0.006    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\warnings.py:503(__exit__)
       10    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:865(sort)
     1527    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_dtype.py:24(_kind_name)
       37    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\enum.py:815(__members__)
     2324    0.013    0.000    0.013    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\warnings.py:456(__init__)
        7    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:420(_from_parsed_parts)
       20    0.000    0.000    0.000    0.000 c:\Users\x_mat\Documents\GitHub\travelling-merchant\main.py:19(haversine)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:429(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\getlimits.py:709(max)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\warnings.py:166(simplefilter)
       16    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:136(ones)
       25    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:551(drive)
       44    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\warnings.py:182(_add_filter)
      760    0.003    0.000    0.008    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\config.py:127(_get_single_key)
       22    0.001    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2330(within_tol)
       18    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:407(_load_parts)
       58    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:85(empty_like)
        1    0.001    0.001    2.986    2.986 c:\Users\x_mat\Documents\GitHub\travelling-merchant\main.py:116(afficher_carte_genetic)
       18    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:387(_parse_path)
     2324    0.010    0.000    0.011    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\warnings.py:482(__enter__)
       48    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\enum.py:197(__get__)
       42    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\warnings.py:131(filterwarnings)
       84    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\arraysetops.py:323(_unique1d)
      368    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\enum.py:1116(__new__)
      368    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\enum.py:713(__call__)
      111    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numerictypes.py:357(issubdtype)
     1520    0.021    0.000    0.031    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:274(full)
       16    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:292(hstack)
        6    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\enum.py:797(__getitem__)
       48    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\enum.py:1279(value)
       20    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:346(where)
       23    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:669(result_type)
      325    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:741(dot)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:1030(unravel_index)
     1594    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:1080(copyto)
        7    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:628(with_name)
      181    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\multiarray.py:153(concatenate)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:1157(__init__)
       18    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:437(__str__)
       16    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\function_base.py:2443(_vectorize_call)
       22    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:372(stack)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:567(__exit__)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:358(__init__)
